rho,nie,nde
-0.9,-2.12562652095707,2.078872859607135
-0.85,-2.0076817938389544,1.9609281324890193
-0.8,-1.8897370667208384,1.8429834053709033
-0.75,-1.771792339602723,1.725038678252788
-0.7,-1.6538476124846073,1.6070939511346722
-0.65,-1.5359028853664918,1.4891492240165567
-0.6,-1.4179581582483762,1.3712044968984411
-0.55,-1.3000134311302607,1.2532597697803256
-0.5,-1.182068704012145,1.1353150426622098
-0.45,-1.0641239768940294,1.0173703155440943
-0.4,-0.9461792497759136,0.8994255884259785
-0.35,-0.8282345226577981,0.781480861307863
-0.29999999999999993,-0.7102897955396823,0.6635361341897472
-0.25,-0.5923450684215669,0.5455914070716318
-0.19999999999999996,-0.47440034130345116,0.4276466799535161
-0.15000000000000002,-0.3564556141853357,0.30970195283540064
-0.09999999999999998,-0.23851088706721998,0.1917572257172849
-0.04999999999999993,-0.12056615994910427,0.07381249859916919
0.0,-0.002621432830988824,-0.04413222851894626
0.050000000000000044,0.11532329428712688,-0.16207695563706198
0.09999999999999998,0.23326802140524236,-0.28002168275517747
0.15000000000000002,0.3512127485233581,-0.3979664098732932
0.20000000000000007,0.4691574756414738,-0.5159111369914089
0.2500000000000001,0.5871022027595896,-0.6338558641095247
0.30000000000000016,0.7050469298777052,-0.7518005912276403
0.35,0.8229916569958204,-0.8697453183457555
0.4,0.940936384113936,-0.9876900454638711
0.45000000000000007,1.0588811112320518,-1.1056347725819868
0.5000000000000001,1.1768258383501675,-1.2235794997001026
0.5500000000000002,1.2947705654682833,-1.3415242268182184
0.6,1.4127152925863986,-1.4594689539363337
0.65,1.5306600197045142,-1.5774136810544492
0.7000000000000001,1.64860474682263,-1.695358408172565
0.7500000000000001,1.7665494739407455,-1.8133031352906805
0.8000000000000002,1.8844942010588612,-1.9312478624087963
0.85,2.0024389281769768,-2.049192589526912
0.9,2.1203836552950923,-2.1671373166450274
